cliente_id,idade,uf,escolaridade,estado_civil,profissao,segmento,renda_mensal,score_credito,tempo_relacionamento_meses,qtd_produtos,agencia_id,gerente_id,canal_preferencial,produto_principal,media_qtd_pix_6m,media_valor_pix_6m,valor_total_pix_6m,qtd_transacoes_cartao_6m,valor_cartao_6m,qtd_login_app_30d,qtd_tentativas_login_falha_30d,qtd_contestacoes_12m,dias_desde_ultima_fraude,tipo_fraude,valor_fraude,qtd_protocolos_atendimento_90d,tempo_resolucao_dias,teve_estorno,percentual_estornado,reclamacao_bacen,reclamacao_consumidor_gov,vulnerabilidade_digital_score,advogado_id,prob_judicializacao_teorica,judicializou
18,47,SP,Medio,Casado,CLT,Aposentado,2202.13,784,53,2,354,1567,App,Emprestimo,22,213.7,25585.58,41,2176.02,31,7,0,132,Pix falso,385.98,1,10,0,0.056,0,0,55.4,0,0.1347,0
19,28,PR,Superior,Viuvo,Servidor publico,Aposentado,1902.46,788,55,2,739,1838,App,Conta corrente,22,242.93,32315.44,51,4202.49,42,3,0,20,Pix falso,854.72,2,10,1,0.701,0,0,15.0,0,0.0239,1
20,21,SC,Superior,Casado,CLT,MEI,5143.75,398,67,2,401,1461,Agencia,Financiamento,22,602.87,64401.13,47,9273.25,17,1,0,2,Golpe do motoboy,1696.72,2,20,1,0.586,0,0,24.8,0,0.0338,0
21,64,PR,Pos-graduacao,Solteiro,CLT,Varejo,3440.74,775,51,4,177,2041,App,Conta corrente,17,222.84,23371.31,45,2742.56,33,0,0,83,Cartao clonado,8944.96,6,27,1,0.793,0,0,50.0,0,0.1337,0
22,39,SP,Fundamental,Solteiro,Servidor publico,MEI,4519.21,776,63,4,31,866,App,Investimentos,17,822.32,82987.98,46,7591.39,38,4,1,245,Cartao clonado,181.68,1,25,1,0.959,0,0,30.5,0,0.0405,0
23,43,SP,Pos-graduacao,Casado,CLT,Varejo,2555.58,772,56,1,194,1787,App,Financiamento,17,120.93,11280.9,57,2280.29,28,1,0,30,Pix falso,1441.05,3,12,1,0.912,0,0,32.7,0,0.0361,0
24,21,DF,Fundamental,Casado,Servidor publico,Aposentado,3161.52,601,47,2,52,3329,App,Investimentos,28,1417.67,194254.79,53,3194.84,43,2,0,47,Boleto falso,5763.88,2,7,0,0.018,0,0,35.9,0,0.0986,1
25,34,SC,Superior,Casado,Autonomo,MEI,7399.38,477,107,3,182,1347,Internet Banking,Cartao credito,22,336.97,44455.08,48,4700.94,13,0,0,13,Pix falso,9991.62,2,14,1,0.68,0,0,41.8,0,0.0732,0
26,44,RS,Medio,Casado,Servidor publico,Universitario,1618.44,663,33,1,234,3377,App,Investimentos,21,28.64,3235.21,47,3601.07,35,1,0,34,Engenharia social,1236.22,0,13,1,0.69,0,0,33.1,0,0.03,0
27,25,RS,Pos-graduacao,Casado,CLT,Aposentado,1520.02,649,117,2,579,1084,Agencia,Seguro,21,148.9,18743.18,56,5429.46,21,2,0,106,Engenharia social,3925.02,2,22,0,0.005,0,1,9.9,117,0.2286,0
28,48,SP,Fundamental,Casado,Autonomo,Varejo,2109.79,772,41,1,360,144,App,Conta salario,25,68.35,10313.71,42,851.57,37,6,0,524,Conta invadida,1163.56,2,63,0,0.022,0,0,53.3,0,0.4463,1
29,33,SP,Superior,Solteiro,CLT,MEI,4349.61,783,41,1,73,861,App,Financiamento,26,203.4,31066.78,37,10389.88,35,0,0,328,Engenharia social,1114.06,3,43,1,0.867,0,0,63.5,0,0.1318,0
30,38,MG,Pos-graduacao,Divorciado,Autonomo,Varejo,3113.37,835,46,1,231,1606,Caixa Eletronico,Emprestimo,23,346.99,44898.82,44,3084.68,12,3,0,196,Pix falso,2806.66,0,12,0,0.037,1,1,34.1,264,0.4681,1
31,33,MG,Superior,Solteiro,Empresario,Aposentado,2696.41,493,50,3,81,2763,App,Conta corrente,20,198.93,23821.15,39,2347.96,41,3,2,47,Pix falso,494.36,1,9,1,0.703,0,0,29.7,0,0.0293,0
32,70,BA,Superior,Solteiro,Autonomo,Varejo,13547.29,887,65,3,223,2402,Internet Banking,Cartao credito,24,1193.33,171581.56,51,15844.74,6,0,0,107,Cartao clonado,1667.3,1,11,1,0.717,0,0,42.6,0,0.034,0
33,42,SP,Superior,Solteiro,Autonomo,Alta renda,21173.09,532,96,1,543,1826,App,Conta corrente,36,5580.46,1176627.36,69,49041.55,30,1,0,413,Golpe do motoboy,5309.18,1,13,1,0.703,0,0,31.6,0,0.0518,0
34,26,SP,Pos-graduacao,Solteiro,CLT,Varejo,2106.97,707,39,1,584,1602,App,Investimentos,21,86.78,11157.12,51,2588.23,37,0,0,384,Pix falso,378.35,0,40,1,0.555,0,0,53.0,0,0.1189,0
35,54,SP,Superior,Casado,Aposentado,Varejo,3826.33,615,67,2,697,1874,Internet Banking,Seguro,24,669.47,88328.45,36,6611.34,26,2,0,178,Engenharia social,2307.25,1,16,0,0.138,0,0,40.3,0,0.1165,0
36,24,RJ,Medio,Solteiro,CLT,Varejo,7134.48,718,119,2,593,2117,App,Conta corrente,21,2139.08,223959.03,37,12487.44,33,1,2,25,Engenharia social,2814.94,0,14,1,0.582,0,0,53.0,0,0.048,0
37,45,SP,Medio,Viuvo,CLT,Varejo,4861.31,814,90,1,51,470,Internet Banking,Cartao credito,26,348.84,50679.94,60,2338.21,19,1,0,138,Boleto falso,5438.17,3,21,1,0.429,0,0,33.7,0,0.0506,0
38,18,SP,Superior,Viuvo,Aposentado,Varejo,7102.24,731,166,6,626,1222,Agencia,Conta corrente,19,1402.14,155062.12,50,16664.36,16,2,0,379,Conta invadida,690.19,2,20,0,0.048,0,0,42.6,0,0.1255,0
39,22,SP,Fundamental,Solteiro,Desempregado,Aposentado,2253.3,687,62,2,405,3075,App,Conta corrente,25,39.23,5696.63,47,1911.85,42,1,0,334,Conta invadida,846.62,1,9,1,0.83,0,0,25.6,0,0.0225,0
40,45,SP,Fundamental,Casado,CLT,Aposentado,6129.13,631,44,1,531,200,Telefone,Investimentos,19,133.33,15527.39,37,19398.17,13,1,0,213,Engenharia social,392.13,2,12,1,0.787,0,0,45.1,0,0.0341,0
41,53,SP,Superior,Solteiro,Autonomo,Varejo,4618.94,765,109,2,776,1306,Internet Banking,Conta salario,25,293.83,37315.22,41,1992.19,21,5,0,852,Cartao clonado,232.34,3,19,1,0.905,0,0,29.3,0,0.0325,0
42,45,MG,Medio,Casado,CLT,MEI,9861.96,524,13,2,203,2379,App,Financiamento,26,1086.62,144726.53,55,9897.4,41,0,0,117,Pix falso,1213.0,1,4,1,0.8,1,0,57.8,0,0.0931,0
43,40,RJ,Medio,Solteiro,Desempregado,Varejo,3546.62,782,45,1,81,679,App,Seguro,21,97.66,9866.37,50,3977.01,42,0,0,130,Conta invadida,1207.65,0,8,1,0.729,1,0,18.2,179,0.0745,0
44,37,SP,Superior,Casado,Empresario,Universitario,1606.34,809,75,2,26,2498,App,Emprestimo,20,168.41,18802.81,43,945.87,35,1,0,206,Pix falso,413.43,2,12,1,0.612,0,0,14.0,0,0.0245,0
45,20,RJ,Superior,Casado,Aposentado,Alta renda,4173.8,707,154,4,648,340,Caixa Eletronico,Cartao credito,27,311.47,47978.57,82,2562.79,16,2,0,113,Conta invadida,2038.1,3,15,1,0.73,0,0,50.0,0,0.0628,0
46,31,PE,Fundamental,Divorciado,Autonomo,Alta renda,19003.05,717,68,3,602,2420,App,Cartao credito,23,730.31,103248.51,66,14649.59,36,0,0,91,Conta invadida,9993.35,0,22,1,0.963,0,0,57.8,265,0.2159,1
47,35,SP,Medio,Divorciado,Empresario,Varejo,3003.4,674,84,6,592,1971,App,Conta corrente,21,203.76,20557.53,48,2493.56,34,2,0,224,Pix falso,6547.93,2,8,1,0.602,0,0,32.3,0,0.0421,0
48,58,GO,Fundamental,Solteiro,Autonomo,Varejo,2025.51,620,124,1,475,3404,App,Financiamento,16,289.23,23931.24,59,6695.57,40,1,0,141,Pix falso,1046.18,2,21,0,0.058,0,0,60.8,54,0.3126,0
49,47,SP,Superior,Casado,Autonomo,Aposentado,6906.08,607,77,4,4,1327,Internet Banking,Conta corrente,18,64.02,6335.84,57,5634.9,16,0,1,97,Pix falso,2347.89,1,21,1,0.846,1,0,45.7,0,0.1381,0
50,18,SP,Fundamental,Solteiro,Servidor publico,MEI,8307.84,819,129,4,241,903,App,Cartao credito,24,1065.89,146308.73,58,8867.17,35,3,0,44,Engenharia social,1712.43,1,18,0,0.048,0,0,54.6,0,0.15,1
51,47,SP,Medio,Casado,Empresario,Varejo,4695.5,662,43,6,72,955,Internet Banking,Financiamento,22,1127.72,127869.84,49,9957.46,17,2,1,135,Conta invadida,3467.9,0,9,1,0.916,0,0,51.0,0,0.0407,0
52,36,SP,Superior,Solteiro,Aposentado,Aposentado,3357.95,535,107,1,71,2040,Agencia,Conta corrente,22,75.0,9501.72,38,8262.93,27,1,0,1,Emprestimo fraudulento,3641.13,0,9,1,0.343,0,0,47.9,0,0.1087,1
53,32,PR,Medio,Solteiro,Empresario,Varejo,6605.44,605,43,1,523,2145,Agencia,Conta corrente,20,367.66,39294.69,47,9706.21,17,4,0,220,Conta invadida,7586.92,1,14,1,0.9,0,0,40.1,0,0.0505,0
54,51,SP,Superior,Solteiro,Estudante,Aposentado,1178.5,707,59,4,678,413,Internet Banking,Conta corrente,18,191.52,16869.21,57,2168.8,24,0,0,212,Engenharia social,249.23,1,29,1,0.461,0,0,29.6,0,0.0458,0
55,57,BA,Fundamental,Solteiro,CLT,Universitario,1641.69,809,86,1,593,627,WhatsApp,Conta corrente,19,68.99,8033.7,42,4151.04,17,0,0,103,Engenharia social,443.19,1,24,1,0.826,0,1,51.6,0,0.0907,0
56,56,SC,Fundamental,Solteiro,CLT,Varejo,4067.59,604,20,2,484,3075,Agencia,Emprestimo,21,245.83,25395.86,51,2176.51,19,1,0,24,Engenharia social,1496.18,1,20,1,0.692,0,0,72.8,0,0.0759,0
57,29,MG,Medio,Casado,CLT,Varejo,1501.92,365,39,3,136,468,App,Investimentos,17,35.63,3372.29,39,3071.8,37,3,0,26,Cartao clonado,826.84,1,10,1,0.587,0,0,40.7,0,0.0302,0
58,37,PR,Superior,Solteiro,CLT,Universitario,1354.77,594,40,2,40,480,App,Conta salario,28,81.75,13659.47,57,2580.02,42,0,0,105,Pix falso,725.78,2,20,1,0.615,0,1,37.0,0,0.078,0
59,47,PR,Fundamental,Divorciado,Servidor publico,Aposentado,2948.03,598,58,2,562,1378,Internet Banking,Cartao credito,23,140.62,17907.09,39,4991.57,11,1,0,202,Boleto falso,3302.22,0,42,1,0.529,0,0,48.1,0,0.1124,0
60,57,SP,Fundamental,Casado,Autonomo,Private,19927.05,486,43,4,295,3428,Caixa Eletronico,Conta corrente,34,1137.0,218017.94,82,17388.52,26,0,0,30,Golpe do motoboy,4839.07,0,4,1,0.697,0,0,77.4,16,0.1576,0
61,35,SP,Pos-graduacao,Casado,Servidor publico,Varejo,6372.58,541,64,2,331,2699,Internet Banking,Cartao credito,19,1819.82,185338.57,41,4709.24,15,1,1,50,Engenharia social,1549.28,2,36,0,0.014,0,0,27.8,0,0.1685,0
62,39,RJ,Medio,Divorciado,Autonomo,Varejo,3575.12,772,9,3,361,2816,Internet Banking,Conta corrente,22,72.66,9398.16,58,1086.66,24,10,0,3,Conta invadida,432.69,0,23,1,0.584,0,0,23.9,173,0.0579,0
63,25,SP,Superior,Divorciado,Servidor publico,Varejo,7199.11,709,104,1,220,2297,WhatsApp,Financiamento,23,248.94,30259.36,53,6762.82,20,1,0,22,Engenharia social,627.43,0,10,1,0.924,0,0,42.3,0,0.0307,0
64,24,SP,Superior,Solteiro,CLT,Varejo,4450.58,737,34,1,279,2100,App,Cartao credito,18,512.58,44713.27,55,2230.02,40,1,0,13,Engenharia social,5656.91,3,16,0,0.019,1,0,24.1,0,0.2198,0
65,54,PR,Fundamental,Casado,CLT,Alta renda,25663.73,753,39,1,795,1770,Internet Banking,Cartao credito,32,1740.5,278510.92,83,59330.69,16,0,0,384,Cartao clonado,10948.88,7,21,1,0.909,0,0,61.8,0,0.1985,0
66,62,MG,Medio,Casado,Empresario,Universitario,1733.81,602,113,1,320,2602,App,Conta corrente,17,529.28,49684.68,57,2806.92,34,1,0,140,Engenharia social,3123.69,2,11,1,0.802,0,1,51.8,0,0.0694,0
67,41,SP,Medio,Divorciado,Empresario,MEI,4978.74,525,48,2,580,3346,Telefone,Seguro,26,184.14,27859.17,52,2881.95,26,3,0,28,Cartao clonado,7176.96,0,35,1,0.909,0,0,29.4,0,0.082,0
68,57,SP,Fundamental,Casado,Estudante,Alta renda,5391.99,702,69,4,618,2598,App,Cartao credito,27,203.3,28655.84,77,15617.78,37,3,0,107,Pix falso,2310.0,2,39,0,0.109,1,0,44.0,0,0.566,0
69,47,SP,Medio,Casado,CLT,Universitario,2090.91,781,27,2,546,1222,Internet Banking,Conta corrente,26,12.49,1729.6,43,1688.88,18,1,0,136,Boleto falso,324.99,0,15,0,0.051,0,1,32.5,0,0.1394,0
70,32,SP,Superior,Solteiro,Aposentado,Aposentado,1633.49,654,25,3,576,2367,Agencia,Seguro,13,176.92,11585.51,44,1098.44,14,1,0,405,Emprestimo fraudulento,37069.22,1,29,1,0.898,0,0,53.8,0,0.5019,0
71,47,RJ,Pos-graduacao,Solteiro,CLT,Varejo,4285.13,766,169,1,332,2709,Internet Banking,Emprestimo,22,304.34,41388.06,39,9881.83,25,0,0,77,Conta invadida,1004.41,2,63,0,0.01,0,0,39.7,0,0.3846,0
72,65,RJ,Medio,Casado,CLT,Varejo,3811.36,678,19,1,438,501,Caixa Eletronico,Conta corrente,17,683.02,67838.75,59,4645.89,28,3,0,242,Emprestimo fraudulento,9895.42,5,18,1,0.632,0,0,32.5,0,0.1149,0
73,41,SP,Superior,Viuvo,Empresario,Private,20151.24,682,37,4,170,1146,Agencia,Conta corrente,28,13184.49,2284395.09,80,18572.28,12,0,0,157,Engenharia social,1107.38,3,10,1,0.925,0,0,11.5,195,0.0533,1
74,65,SP,Pos-graduacao,Viuvo,CLT,Universitario,2619.26,502,137,4,725,1232,App,Investimentos,11,217.54,11961.89,51,7714.13,34,5,1,70,Cartao clonado,7750.51,7,30,0,0.048,1,0,56.1,88,0.6953,0
75,18,RJ,Medio,Casado,CLT,Alta renda,5889.33,654,121,1,418,1739,App,Conta corrente,21,439.21,47882.33,73,4702.73,34,5,0,220,Pix falso,1449.98,0,9,1,0.804,0,0,17.0,0,0.0348,0
76,54,SP,Fundamental,Divorciado,Aposentado,Varejo,3506.77,580,69,3,340,1901,Telefone,Conta corrente,24,35.4,4826.99,46,1841.97,16,5,0,59,Conta invadida,6291.08,3,42,0,0.107,0,0,69.0,0,0.4108,0
77,43,SP,Medio,Solteiro,Servidor publico,Alta renda,13899.03,921,94,3,773,439,App,Conta corrente,39,1524.66,330385.57,82,36852.69,36,0,2,65,Conta invadida,4226.94,1,14,0,0.151,0,0,41.4,0,0.1664,1
78,38,RJ,Medio,Solteiro,Aposentado,Varejo,2634.58,608,116,1,301,1928,App,Conta corrente,23,174.61,21126.85,47,1949.63,33,0,0,501,Pix falso,964.07,0,33,1,0.532,1,0,10.1,0,0.1057,0
79,43,SP,Medio,Solteiro,Autonomo,Alta renda,35317.46,782,37,3,503,1125,App,Financiamento,29,711.2,124558.19,64,67127.24,38,1,0,0,Conta invadida,1235.09,1,19,1,0.423,0,0,26.1,0,0.0456,0
80,18,PE,Superior,Casado,Empresario,Varejo,2472.53,614,25,3,685,1165,WhatsApp,Conta corrente,20,370.15,39767.42,54,6181.71,31,3,0,92,Cartao clonado,409.52,1,21,1,0.873,0,0,27.8,0,0.0342,0
81,39,RS,Superior,Divorciado,CLT,Varejo,3223.18,569,94,3,173,1767,WhatsApp,Conta corrente,21,201.63,23189.66,42,3453.49,11,4,0,190,Engenharia social,1040.14,2,24,0,0.02,0,0,26.7,0,0.1123,0
82,47,RJ,Medio,Casado,CLT,Alta renda,6366.52,588,36,3,364,3042,App,Financiamento,31,375.18,69351.85,62,9545.82,43,4,0,22,Cartao clonado,2918.3,2,32,0,0.003,0,1,32.6,0,0.3278,1
83,64,SP,Medio,Casado,CLT,Alta renda,25719.32,623,68,3,166,705,Internet Banking,Conta corrente,34,1119.36,206063.61,74,33631.25,20,4,0,169,Cartao clonado,3120.33,2,23,0,0.084,0,0,32.4,65,0.274,1
84,34,SP,Medio,Solteiro,Estudante,Varejo,2339.97,661,136,2,557,1037,Internet Banking,Emprestimo,17,67.46,6748.25,51,1220.76,23,3,0,17,Pix falso,3559.41,2,27,0,0.062,0,0,39.1,0,0.203,0
85,30,SP,Medio,Solteiro,Servidor publico,Alta renda,15625.04,820,69,2,194,1096,App,Conta corrente,25,560.8,81702.28,75,11935.02,39,0,0,236,Engenharia social,4860.42,0,11,1,0.821,0,0,13.9,126,0.0588,0
86,34,SP,Superior,Casado,CLT,Universitario,1393.44,665,18,2,351,815,Agencia,Conta corrente,25,34.46,4155.58,58,488.44,26,1,0,154,Pix falso,1832.36,0,11,1,0.59,0,0,44.3,0,0.0436,0
87,56,RJ,Fundamental,Solteiro,CLT,Varejo,4297.87,695,51,2,416,1339,App,Financiamento,34,766.38,131661.11,57,8709.54,34,5,0,11,Cartao clonado,1682.44,1,26,1,0.444,0,0,38.7,0,0.0525,0
88,47,SP,Medio,Casado,Empresario,Varejo,2367.0,631,50,4,795,2225,WhatsApp,Financiamento,23,108.76,12353.65,42,1575.76,24,0,0,223,Conta invadida,18816.75,0,8,1,0.911,0,0,31.3,0,0.0674,0
89,34,CE,Medio,Casado,Empresario,Varejo,2602.44,780,34,2,379,1319,Agencia,Cartao credito,21,287.59,29512.38,41,2798.24,15,2,0,24,Pix falso,863.5,1,11,1,0.829,0,0,37.7,0,0.0368,0
90,50,DF,Medio,Solteiro,Aposentado,Varejo,2123.26,586,92,4,662,2093,Internet Banking,Conta corrente,25,189.55,25806.27,44,3389.79,13,2,0,175,Engenharia social,2042.91,2,15,1,0.767,0,0,48.7,0,0.0441,0
91,43,RS,Superior,Casado,Aposentado,Varejo,5215.41,699,38,1,609,204,App,Emprestimo,18,485.11,50966.41,48,9570.59,34,0,0,71,Engenharia social,2267.41,0,9,1,0.732,0,0,22.9,0,0.0233,0
92,57,BA,Superior,Casado,CLT,Universitario,926.28,473,76,3,462,2365,WhatsApp,Cartao credito,15,225.09,20571.41,57,769.13,28,1,0,176,Golpe do motoboy,4199.15,3,33,0,0.061,0,0,27.2,0,0.1746,0
93,31,SP,Superior,Viuvo,CLT,MEI,4531.65,623,83,2,360,2694,App,Cartao credito,20,474.0,55406.97,36,5387.18,32,1,0,96,Golpe do motoboy,2232.16,1,16,0,0.042,1,1,28.8,0,0.2916,1
94,37,RS,Superior,Casado,Autonomo,Varejo,1760.89,770,82,2,363,1592,App,Conta corrente,19,258.88,30093.52,53,1024.23,36,1,0,67,Cartao clonado,1304.59,2,23,0,0.001,0,0,38.8,0,0.1337,0
95,36,SP,Medio,Casado,Aposentado,Varejo,2388.01,567,55,1,234,2129,App,Cartao credito,20,70.9,6983.25,53,5770.75,38,2,1,62,Engenharia social,4656.23,1,9,1,0.898,0,0,49.0,0,0.0421,1
96,20,DF,Superior,Divorciado,CLT,MEI,5019.76,749,97,4,326,991,Internet Banking,Investimentos,19,494.87,55005.77,50,11311.58,22,0,0,233,Engenharia social,1543.72,3,11,1,0.86,0,0,35.7,0,0.0299,0
97,46,RS,Fundamental,Divorciado,Aposentado,Alta renda,18051.45,634,138,5,373,2782,Caixa Eletronico,Conta salario,35,2400.71,519620.66,83,10887.54,20,4,1,72,Engenharia social,4067.99,1,14,1,0.251,0,0,71.5,0,0.1782,1
98,46,SP,Medio,Casado,CLT,Alta renda,12042.25,760,81,5,190,1181,App,Emprestimo,29,3219.91,520199.81,78,19686.03,34,2,0,241,Golpe do motoboy,1854.34,0,14,0,0.014,0,0,42.0,0,0.149,0
99,42,BA,Fundamental,Divorciado,Aposentado,Alta renda,13747.31,858,67,3,125,664,WhatsApp,Conta corrente,32,2553.2,502880.14,64,13815.97,18,1,0,27,Conta invadida,5152.61,6,39,0,0.01,0,0,27.7,0,0.3596,0
100,38,SP,Superior,Casado,CLT,Varejo,4309.0,834,70,5,711,1144,App,Conta corrente,20,352.41,41546.0,47,9650.26,33,10,0,20,Boleto falso,578.1,1,13,1,0.806,0,0,31.6,0,0.0282,0
101,21,RJ,Fundamental,Casado,Estudante,Varejo,2617.16,830,44,5,709,2288,Internet Banking,Conta corrente,22,131.62,14373.98,47,3773.17,14,2,0,105,Cartao clonado,1876.8,2,8,1,0.452,0,0,41.9,0,0.0307,0
102,36,CE,Superior,Casado,Empresario,MEI,3785.35,501,65,1,460,1436,App,Cartao credito,26,298.8,47392.29,49,12210.76,38,0,0,46,Cartao clonado,1839.05,0,27,0,0.051,0,0,26.0,0,0.1271,1
103,37,SP,Fundamental,Casado,Servidor publico,Varejo,1714.25,732,62,5,764,2149,Caixa Eletronico,Conta corrente,17,465.15,42470.63,37,5772.03,20,0,0,142,Pix falso,922.85,1,22,1,0.336,0,0,36.2,0,0.0995,0
104,30,RS,Fundamental,Casado,Desempregado,Varejo,3053.51,822,22,3,223,1103,App,Seguro,18,92.4,10054.27,55,5530.3,31,2,0,353,Boleto falso,447.26,0,42,1,0.749,0,0,48.9,0,0.0977,0
105,40,RJ,Superior,Solteiro,Empresario,Aposentado,5633.59,593,112,1,504,405,App,Conta corrente,19,121.88,13447.28,45,14393.86,42,2,0,240,Engenharia social,1549.41,1,7,1,0.888,0,0,43.9,0,0.0301,0
106,48,RJ,Medio,Solteiro,Autonomo,Aposentado,2600.95,874,36,2,679,738,Internet Banking,Conta corrente,16,291.49,24476.48,40,1452.79,16,2,0,478,Pix falso,3148.29,0,33,1,0.818,0,0,44.9,69,0.1574,0
107,70,SC,Superior,Casado,Desempregado,Universitario,2293.44,588,67,3,744,2083,WhatsApp,Cartao credito,16,673.7,60000.03,39,6151.7,6,1,0,423,Boleto falso,510.86,1,6,1,0.726,0,0,34.3,0,0.0232,0
108,45,GO,Fundamental,Casado,Aposentado,Varejo,7367.21,576,79,1,424,791,App,Investimentos,24,728.54,105664.88,38,6690.01,31,0,1,141,Engenharia social,2598.34,0,7,1,0.346,0,0,44.6,0,0.0632,0
109,46,SP,Medio,Casado,Aposentado,Varejo,2335.5,696,25,1,95,2197,WhatsApp,Conta salario,39,370.05,70481.24,45,2392.13,14,1,0,65,Cartao clonado,345.39,1,48,1,0.723,0,0,22.2,0,0.0759,0
110,41,SP,Pos-graduacao,Casado,Autonomo,Alta renda,6073.25,417,92,6,185,1609,App,Conta corrente,31,338.28,57692.53,66,12714.16,30,1,0,352,Conta invadida,2118.83,1,16,0,0.001,0,0,34.9,0,0.1437,0
111,18,MG,Medio,Casado,CLT,Varejo,2003.42,548,91,1,692,3438,App,Conta corrente,30,123.46,18441.6,41,1353.78,39,0,1,207,Golpe do motoboy,1883.51,1,23,1,0.597,0,0,36.0,0,0.0459,0
